GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "00000","United States", ,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",13226438.1,12835528.5,13145590.4,13578992.1,14003346.0,13999660.3,14549525.5,15207440.0,15451718.3,15876254.0,16314204.8,16897074.2,17825584.2,18412541.1
 "01000","Alabama",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",187336.6,187152.4,187279.9,189172.7,190450.8,190336.3,193661.1,203544.4,203118.8,209348.5,219468.5,223626.5,239485.0,246873.9
 "02000","Alaska",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",32874.4,32771.5,35717.2,36862.9,37973.4,37516.9,38785.7,39586.9,38320.5,38217.1,38939.2,39945.8,41161.8,40052.1
 "04000","Arizona",6,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",231774.7,218472.1,225397.5,233946.5,241983.9,243833.1,255373.4,268726.0,274244.5,289284.0,300700.1,316996.3,341318.5,362113.5
 "05000","Arkansas",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",110733.8,110960.1,110504.6,113831.2,119990.0,118709.1,124218.9,128392.7,130467.1,134179.6,137986.9,138377.8,145094.2,148568.7
 "06000","California",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",1539207.5,1501979.6,1559084.1,1619420.1,1686834.4,1694852.2,1779397.6,1889769.0,1966517.8,1976276.1,2010956.5,2108670.2,2250420.2,2332657.6
 "08000","Colorado",7,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",216435.6,208055.8,214698.7,222534.8,230469.6,239354.9,258427.2,269350.2,272577.8,284013.5,306574.3,317157.4,328502.3,346082.1
 "09000","Connecticut",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",210068.8,207360.5,218099.9,216526.2,217654.9,209363.6,216507.8,222029.2,223770.1,222843.5,234057.1,239455.9,243003.3,253919.7
 "10000","Delaware",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",38056.0,38051.2,37908.6,40406.2,40635.3,41092.0,41848.1,44484.0,45113.0,46479.4,47743.6,49097.1,52229.5,53406.0
 "11000","District of Columbia",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",33511.5,33775.0,35446.5,37571.3,38903.1,38121.6,40155.8,43487.4,45795.5,46756.8,46973.0,48432.6,50237.2,50398.4
 "12000","Florida",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",761128.9,724751.6,760220.1,777404.8,791477.4,785341.8,829811.8,880225.7,904603.2,958599.0,1002847.5,1063735.1,1107489.2,1160013.8
 "13000","Georgia",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",377128.3,380311.4,371842.1,391834.2,388674.5,390997.7,411246.1,436653.2,447343.6,465347.3,481891.4,504912.8,533033.1,545636.2
 "15000","Hawaii",8,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",54073.7,52489.3,53937.0,54991.0,56425.2,55295.9,58020.5,60244.1,62241.1,63795.1,63589.7,65080.5,66553.5,67312.3
 "16000","Idaho",7,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",56210.3,54252.2,56629.4,57541.8,60112.1,61763.9,63856.4,67351.4,70498.7,71901.3,77144.5,81848.1,90742.6,94097.1
 "17000","Illinois",3,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",586023.1,550929.4,557485.3,569075.5,588324.8,598683.9,621833.9,653427.7,649493.0,651755.3,670528.3,687637.5,712986.7,728882.6
 "18000","Indiana",3,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",260876.1,253419.0,258455.7,270295.7,277376.5,276740.0,283521.7,297867.2,303410.1,312858.0,314992.3,323719.1,348011.8,359702.4
 "19000","Iowa",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",140447.6,134062.5,133478.9,142069.7,144969.0,145253.8,147480.6,156301.1,155385.6,158138.6,157170.1,159420.7,169972.8,176780.1
 "20000","Kansas",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",135505.0,128839.5,127661.8,134986.9,139449.7,141341.6,141648.7,143875.2,143913.7,146990.2,148691.7,152426.4,160785.7,164557.3
 "21000","Kentucky",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",166679.5,167322.2,167658.7,170550.9,173823.7,171809.1,177770.7,186364.2,188248.4,191799.5,195792.1,200944.7,216979.6,225018.8
 "22000","Louisiana",5,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",195333.0,191856.7,193795.6,194237.3,200486.3,200830.7,206650.2,208111.7,203909.5,210981.7,219336.7,222219.0,234479.7,238268.8
 "23000","Maine",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",53633.2,54005.5,55459.3,56131.9,55982.8,54930.2,58380.4,59182.9,60827.6,60581.9,61629.0,66174.8,69102.6,71621.7
 "24000","Maryland",2,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",273609.9,269153.6,278456.3,283636.1,291930.2,284549.4,291425.4,304565.5,315507.7,319905.6,323450.7,332933.7,343876.7,351518.8
 "25000","Massachusetts",1,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",336467.4,336652.4,348143.7,355424.5,366255.1,368116.0,375208.9,398071.6,397805.5,408730.8,419097.0,436144.3,455315.4,475686.6
 "26000","Michigan",3,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",397401.2,377683.0,386443.9,401623.9,411795.2,408992.9,418732.3,449113.5,458546.2,468965.2,468569.7,473797.2,513048.3,522600.8
 "27000","Minnesota",4,SARPI,1,"..."," Real personal income (millions of constant (2012) dollars) 1/","Millions of constant 2012 dollars",249428.6,234246.7,242578.8,253689.3,263919.5,262147.6,269625.9,285582.1,289275.2,297104.7,296400.8,306558.2,327803.1,333417.9
